#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-06T02:21:49 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ60bc30f23a49bc
#INFO	-out.max=9999
#INFO	queryParameters=16
#-oc.form=dec
#-out.max=9999
#-order=I
#-nav=cat:J/AJ/153/208&tab:{J/AJ/153/208/table1}&key:source=J/AJ/153/208/table1&HTTPPRM:&&-ref=VIZ60bc30f23a49bc&-out.max=9999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/AJ/153/208/table1&-out=Name&Name=HD190406*&-out=BJD&-out=RV&-out=e_RV&-out=S&-out=H&-out=Count&-out=Exp&-out=Nrv&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/AJ/153/208/table1
#-source=J/AJ/153/208/table1
#-out=Name
#Name=HD190406*
#-out=BJD
#-out=RV
#-out=e_RV
#-out=S
#-out=H
#-out=Count
#-out=Exp
#-out=Nrv
#
#
#RESOURCE=yCat_51530208
#Name: J/AJ/153/208
#Title: LCES HIRES/Keck radial velocity Exoplanet Survey (Butler+, 2017)
#Table	J_AJ_153_208_table1:
#Name: J/AJ/153/208/table1
#Title: Radial velocities and chromospheric activity indices of all program stars (corrected velocities in Tal-Or et al, 2019, Cat. J/MNRAS/484/L8)
#Column	Name	(a14)	Target identifier	[ucd=meta.id;meta.main]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RV	(F9.2)	[-39874.3/42363.6] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F6.2)	[0.01/252.9] 1{sigma} uncertainty in RV	[ucd=stat.error]
#Column	S	(F7.4)	[-5.5/68.9] Chromosperic activity index S-index (1)	[ucd=spect.index]
#Column	H	(F8.5)	[-1/0.11]? Chromosperic activity index H-index (2)	[ucd=spect.index]
#Column	Count	(I6)	[67/616935] Median photons per pixel	[ucd=phot.count;arith.ratio]
#Column	Exp	(I4)	[-1/2551] Exposure time	[ucd=time.duration;obs.exposure]
#Column	Nrv	(I3)	Number of radial velocity measurements (table1) [NULL integer written as an empty string]	[ucd=meta.number]
Name|BJD|RV|e_RV|S|H|Count|Exp|Nrv
# |d|m/s|m/s| | | |s|
#--------------|-------------|---------|------|-------|--------|------|----|---
HD190406      |2450602.04554|   225.72|  1.21| 0.1605|-1.00000|230066|  90|188
HD190406      |2450602.99115|   231.32|  1.26| 0.1733|-1.00000|153346|  80|188
HD190406      |2450604.02169|   231.61|  1.16| 0.1752|-1.00000|164404|  80|188
HD190406      |2450605.02980|   229.55|  1.24| 0.1773|-1.00000|181731|  80|188
HD190406      |2450606.06214|   223.16|  1.22| 0.1721|-1.00000|203483|  80|188
HD190406      |2450606.96575|   227.73|  1.36| 0.1649|-1.00000|182609|  60|188
HD190406      |2450607.91573|   229.51|  1.40| 0.1694|-1.00000|101779|  80|188
HD190406      |2451068.84497|   205.29|  1.37| 0.1938|-1.00000|165469|  60|188
HD190406      |2451069.89086|   198.35|  1.32| 0.1956|-1.00000|185844|  60|188
HD190406      |2451070.91081|   208.73|  1.26| 0.2045|-1.00000|162123|  50|188
HD190406      |2451071.84712|   214.31|  1.55| 0.2000|-1.00000|106464|  40|188
HD190406      |2451072.83520|   210.56|  1.43| 0.2009|-1.00000|101140|  40|188
HD190406      |2451074.85485|   203.17|  1.32| 0.1958|-1.00000|139309|  45|188
HD190406      |2451075.74263|   207.52|  2.64| 0.1812|-1.00000| 14109| 180|188
HD190406      |2451075.79329|   203.33|  1.17| 0.1852|-1.00000|176165| 150|188
HD190406      |2451311.10016|   188.20|  1.31| 0.1836|-1.00000|336850| 116|188
HD190406      |2451312.08858|   186.16|  1.36| 0.1803|-1.00000|151144|  60|188
HD190406      |2451313.10194|   194.29|  1.37| 0.1826|-1.00000|143222|  50|188
HD190406      |2451314.12348|   184.72|  1.50| 0.1807|-1.00000|157112|  50|188
HD190406      |2451314.12528|   192.51|  1.34| 0.1755|-1.00000|230017|  70|188
HD190406      |2451367.90591|   175.78|  1.55| 0.1807|-1.00000| 70062|  25|188
HD190406      |2451368.87098|   178.48|  1.62| 0.1806|-1.00000| 56617|  25|188
HD190406      |2451370.01518|   181.61|  1.30| 0.1825|-1.00000|106828|  40|188
HD190406      |2451372.02684|   184.64|  1.67| 0.1821|-1.00000| 91923|  30|188
HD190406      |2451373.06227|   180.40|  1.48| 0.1869|-1.00000| 85268|  36|188
HD190406      |2451373.81988|   175.96|  1.50| 0.1854|-1.00000| 65351|  18|188
HD190406      |2451410.87617|   173.55|  1.57| 0.1702|-1.00000| 91306|  33|188
HD190406      |2451411.87170|   171.37|  1.30| 0.1748|-1.00000|124882|  44|188
HD190406      |2451439.82206|   172.66|  1.53| 0.1848|-1.00000| 92727|  30|188
HD190406      |2451679.09148|   187.86|  1.84| 0.2098|-1.00000| 91220|  36|188
HD190406      |2451703.07481|   180.48|  1.44| 0.2225|-1.00000| 94235|  58|188
HD190406      |2451754.94176|   178.18|  1.31| 0.2258|-1.00000|106519|  75|188
HD190406      |2451793.82502|   172.92|  1.66| 0.2520|-1.00000| 69055|  29|188
HD190406      |2452031.03978|   145.70|  1.60| 0.1733|-1.00000|106035| 123|188
HD190406      |2452099.04829|   140.78|  1.59| 0.1628|-1.00000| 86251|  23|188
HD190406      |2452127.98311|   126.46|  1.62| 0.1756|-1.00000| 85331|  33|188
HD190406      |2452133.80017|   130.37|  1.51| 0.1732|-1.00000| 94014|  33|188
HD190406      |2452391.13925|   108.00|  1.76| 0.1737|-1.00000| 88777|  24|188
HD190406      |2452515.78190|   107.10|  1.60| 0.1650|-1.00000| 90385|  22|188
HD190406      |2452515.78315|   111.40|  1.72| 0.1662|-1.00000| 85019|  21|188
HD190406      |2452848.90313|    95.33|  1.60| 0.1689|-1.00000|100241|  31|188
HD190406      |2452855.99880|    90.43|  1.67| 0.1686|-1.00000|102150|  28|188
HD190406      |2453181.02716|    56.85|  1.51| 0.1662|-1.00000| 99195|  29|188
HD190406      |2453303.70991|    62.40|  1.24| 0.1661| 0.03023|107331| 133|188
HD190406      |2453303.71181|    60.03|  1.35| 0.1610| 0.03022|108630| 106|188
HD190406      |2453551.00693|    34.93|  1.36| 0.1614| 0.03053| 99938|  29|188
HD190406      |2453551.00788|    37.33|  1.41| 0.1639| 0.03050| 99595|  28|188
HD190406      |2453551.00870|    37.04|  1.27| 0.1693| 0.03052| 97892|  26|188
HD190406      |2453551.00965|    37.64|  1.35| 0.1656| 0.03057| 99144|  27|188
HD190406      |2453603.91927|    29.22|  1.45| 0.1641| 0.03054|102592|  29|188
HD190406      |2453603.92013|    33.75|  1.40| 0.1620| 0.03057|107208|  30|188
HD190406      |2453603.92095|    29.81|  1.47| 0.1582| 0.03054|106552|  30|188
HD190406      |2453926.03722|    18.84|  1.35| 0.1647| 0.03050| 96170|  35|188
HD190406      |2453926.03822|    19.32|  1.23| 0.1598| 0.03051| 98108|  29|188
HD190406      |2453926.03907|    18.56|  1.36| 0.1586| 0.03062| 98494|  31|188
HD190406      |2453982.81343|    11.42|  1.26| 0.1703| 0.03058| 98239|  29|188
HD190406      |2453982.81426|     7.33|  1.27| 0.1712| 0.03046| 95493|  28|188
HD190406      |2453982.81510|    12.25|  1.45| 0.1628| 0.03057| 92087|  25|188
HD190406      |2454337.04339|     0.08|  1.55| 0.2134| 0.03035| 55965|   0|188
HD190406      |2454546.15177|    -3.75|  1.35| 0.1635| 0.03046| 73805|  19|188
HD190406      |2454601.07373|    -5.37|  1.41| 0.1582| 0.03048| 74166|  52|188
HD190406      |2454667.07263|    -6.32|  1.31| 0.1663| 0.03049| 77154|  23|188
HD190406      |2454671.95870|    -8.68|  1.28| 0.1629| 0.03044| 76376|  25|188
HD190406      |2454673.96564|   -12.09|  1.42| 0.1550| 0.03035| 78388|  21|188
HD190406      |2454675.88322|   -13.27|  1.39| 0.1586| 0.03030| 75283|  32|188
HD190406      |2454675.88411|   -13.19|  1.49| 0.1594| 0.03033| 73741|  38|188
HD190406      |2454686.94745|   -11.53|  1.56| 0.1614| 0.03035| 75422|  28|188
HD190406      |2454688.87419|   -10.77|  1.50| 0.1533| 0.03035| 46671|  14|188
HD190406      |2454689.95186|   -13.68|  1.57| 0.1552| 0.03034| 46402|  15|188
HD190406      |2454701.99992|   -16.35|  1.34| 0.1679| 0.03029| 73823|  30|188
HD190406      |2454702.00078|   -12.59|  1.32| 0.1643| 0.03033| 75314|  30|188
HD190406      |2454702.00165|   -12.78|  1.33| 0.1689| 0.03033| 71617|  32|188
